region,timezone,language,package,hours_use,sum_length,is_paid
AU,10,en,GPU_4A,1,25,1
SA,3,en,GPU_3A,2,54,1
ZA,2,en,GPU_3A,0,48,1
US,8,en,GPU_4A,0,31,1
BE,1,en,GPU_3A,1,58,0
VN,7,vi,GPU_1,1,38,0
NL,3,ru,GPU_3A,0,36,1
KR,9,ko,GPU_3A,1,8,1
CH,1,fr,CPU_1,1,11,0
ID,7,en,GPU_3A,1,28,0
VN,7,vi,CPU_1,1,10,1
IN,5,en,GPU_3A,0,55,0
VN,-7,vi,GPU_3A,0,26,0
RU,5,ru,GPU_4A,1,30,0
JP,9,ja,GPU_3A,1,29,1
GB,0,en,GPU_3A,1,133,0
VN,7,en,GPU_3A,2,13,0
US,-6,en,GPU_4A,0,28,0
AF,7,en,GPU_3A,0,8,0
DE,1,de,GPU_3A,1,34,1
GB,0,en,GPU_9A,1,55,1
MT,1,it,GPU_1,0,17,1
AU,10,en,GPU_8A,2,8,1
DK,2,en,GPU_3A,0,24,0
HK,8,en,GPU_1,0,66,0
VN,7,en,CPU_1,5,36,1
SK,1,en,GPU_3A,1,133,1
GB,-5,en,GPU_4A,4,20,1
IT,1,it,GPU_1,0,10,1
US,-7,en,GPU_7A,3,10,1
US,0,en,GPU_3A,1,10,0
FR,1,en,GPU_7A,8,20,1
VN,7,vi,GPU_3A,0,29,0
US,-7,en,GPU_3A,2,122,1
AU,11,en,GPU_4A,0,27,0
FR,2,fr,GPU_3A,1,155,1
GB,0,en,GPU_3A,1,30,0
VN,7,en,GPU_3A,1,54,1
EG,2,en,GPU_3A,1,168,1
GB,1,en,GPU_3A,0,27,0
US,1,en,GPU_9A,0,44,1
NL,2,nl,GPU_3A,0,40,1
IN,5,en,GPU_8A,2,33,1
SA,3,en,GPU_3A,1,16,1
TH,7,en,GPU_9A,8,80,1
PL,1,pl,GPU_1,0,3,0
MX,-6,es,GPU_1,3,0,0
VN,7,vi,GPU_3A,3,25,0
BE,1,fr,GPU_8A,5,1,1
PL,2,pl,GPU_3A,3,100,1
FR,2,fr,GPU_3A,0,115,1
FR,1,fr,GPU_3A,23,100,1
IN,5,en,GPU_5P,1,227,1
VN,7,en,GPU_1,0,7,1
KZ,6,en,GPU_8A,5,14,1
OM,4,en,GPU_4A,1,29,1
US,0,en,GPU_3A,1,110,0
CR,-6,en,GPU_7A,2,0,1
VN,7,en,GPU_3A,1,45,1
VN,7,en,GPU_3A,0,8,0
ES,2,es,GPU_9A,2,77,1
DE,0,en,GPU_9A,38,245,1
GE,4,en,GPU_3A,3,39,1
DE,1,de,GPU_3A,0,47,1
